mac_fill,flood_pressure,avg_age
0.55,0.967,151.73
0.55,0.968,154.73
0.55,0.97,157.73
0.55,0.971,160.73
0.55,0.973,163.73
0.55,0.974,166.73
0.55,0.976,169.73
0.55,0.98,172.73
0.55,0.982,175.73
0.55,0.983,178.73
0.55,0.985,181.73
0.55,0.986,184.73
0.55,0.988,187.73
0.55,0.989,190.73
0.55,0.991,193.73
0.55,0.992,196.73
0.6,0.995,183.25
0.6,0.999,186.25
0.6,1.001,189.25
0.6,1.002,193.25
0.6,1.004,196.25
0.6,1.005,199.25
0.6,1.007,202.25
0.55,1.008,196.45
0.55,1.01,199.45
0.55,1.011,202.45
0.55,1.013,205.45
0.55,1.017,208.45
0.55,1.019,211.45
0.55,1.02,214.45
0.55,1.022,217.45
0.55,1.023,220.45
0.55,1.025,223.45
0.55,1.026,226.45
0.55,1.028,229.45
0.55,1.029,232.45
0.55,1.031,235.45
0.55,1.035,238.45
0.55,1.037,241.45
0.5,1.038,238.8
0.5,1.04,241.8
0.5,1.041,244.8
0.5,1.043,247.8
0.5,1.044,250.8
0.4,1.046,242.25
0.4,1.047,245.25
0.4,1.048,248.25
0.4,1.053,251.25
0.4,1.054,254.25
0.4,1.056,257.25
0.2,1.057,219.5
0.2,1.059,222.5
0.2,1.06,226.5
0.2,1.062,229.5
0.2,1.063,232.5
0.1,1.065,170.0
0.1,1.066,173.0
0.1,1.071,176.0
0.1,1.072,179.0
0.1,1.074,182.0
0.1,1.075,185.0
0.1,1.077,188.0
0.1,1.078,191.0
0.1,1.08,194.0
0.1,1.081,197.0
0.1,1.083,200.0
0.1,1.084,203.0
0.1,1.089,206.0
0.1,1.09,209.0
0.1,1.092,212.0
0.1,1.093,215.0
0.1,1.095,218.0
0.1,1.096,221.0
0.1,1.098,224.0
0.1,1.099,227.0
0.1,1.101,230.0
0.1,1.102,233.0
0.1,1.107,236.0
0.1,1.108,239.0
0.1,1.11,242.0
0.1,1.111,245.0
0.1,1.113,249.0
0.05,1.114,203.0
0.05,1.116,206.0
0.05,1.117,209.0
0.05,1.119,212.0
0.05,1.123,215.0
0.05,1.125,218.0
0.05,1.126,221.0
0.05,1.128,224.0
0.05,1.129,227.0
0.05,1.131,230.0
0.05,1.132,233.0
0.05,1.134,236.0
0.05,1.135,239.0
0.05,1.137,242.0
0.05,1.141,245.0
0.05,1.143,248.0
0.05,1.144,251.0
0.05,1.146,254.0
0.55,1.669,164.18
0.55,1.671,168.18
0.55,1.672,171.18
0.55,1.675,161.91
0.55,1.676,164.91
0.5,1.678,154.6
0.5,1.679,157.6
0.5,1.681,160.6
0.5,1.685,163.6
0.5,1.687,166.6
0.5,1.688,169.6
0.5,1.69,172.6
0.5,1.691,175.6
0.5,1.693,178.6
0.5,1.694,181.6
0.5,1.696,184.6
0.5,1.697,187.6
0.5,1.699,190.6
0.5,1.703,193.6
0.5,1.705,196.6
0.5,1.706,199.6
0.5,1.708,202.6
0.5,1.709,205.6
0.5,1.711,208.6
0.5,1.712,212.6
0.5,1.714,215.6
0.4,1.716,198.25
0.4,1.717,201.25
0.4,1.721,204.25
0.4,1.723,207.25
0.4,1.724,210.25
0.4,1.726,213.25
0.4,1.727,216.25
0.4,1.729,219.25
0.4,1.73,222.25
0.4,1.732,225.25
0.4,1.733,228.25
0.4,1.735,231.25
0.4,1.74,234.25
0.4,1.741,237.25
0.4,1.743,240.25
0.4,1.744,243.25
0.4,1.746,246.25
0.35,1.747,241.71
0.35,1.748,244.71
0.35,1.75,247.71
0.35,1.751,250.71
0.4,1.754,222.25
0.35,1.759,214.57
0.35,1.76,218.57
0.35,1.761,221.57
0.35,1.763,224.57
0.35,1.764,227.57
0.35,1.766,230.57
0.35,1.767,233.57
0.35,1.769,236.57
0.35,1.77,239.57
0.1,1.775,99.0
0.1,1.776,102.0
0.1,1.778,105.0
0.1,1.779,108.0
0.1,1.781,111.0
0.1,1.782,114.0
0.1,1.784,117.0
0.1,1.785,120.0
0.1,1.787,123.0
0.1,1.788,126.0
0.1,1.793,129.0
0.1,1.794,132.0
0.1,1.796,135.0
0.1,1.797,138.0
0.1,1.799,141.0
0.1,1.8,144.0
0.1,1.802,147.0
0.1,1.803,150.0
0.1,1.805,153.0
0.1,1.806,156.0
0.1,1.811,160.0
0.1,1.812,163.0
0.1,1.814,166.0
0.1,1.815,169.0
0.1,1.817,172.0
0.1,1.818,175.0
0.1,1.82,178.0
0.1,1.821,181.0
0.1,1.823,184.0
0.1,1.824,187.0
0.1,1.829,190.0
0.1,1.83,193.0
0.1,1.832,196.0
0.1,1.833,199.0
0.1,1.835,202.0
0.1,1.836,205.0
0.1,1.838,208.0
0.1,1.839,211.0
0.1,1.841,214.0
0.1,1.843,217.0
0.1,1.847,220.0
0.1,1.849,223.0
0.1,1.85,226.0
0.35,0.322,27.29
0.35,0.324,30.29
0.55,0.335,22.73
0.55,0.337,25.73
0.6,0.344,15.25
0.6,0.351,18.25
0.6,0.355,21.25
0.6,0.359,18.17
0.6,0.363,21.17
0.6,0.365,24.17
0.6,0.372,27.17
0.6,0.374,30.17
0.6,0.378,33.17
0.6,0.38,36.17
0.6,0.384,39.17
0.6,0.386,42.17
0.6,0.39,45.17
0.6,0.392,48.17
0.6,0.396,51.17
0.6,0.398,54.17
0.6,0.405,57.17
0.6,0.407,60.17
0.6,0.411,63.17
0.6,0.413,66.17
0.6,0.417,69.17
0.6,0.419,72.17
0.6,0.423,75.17
0.6,0.425,78.17
0.6,0.429,81.17
0.6,0.431,84.17
0.6,0.438,87.17
0.6,0.44,90.17
0.6,0.444,93.17
0.6,0.446,96.17
0.6,0.45,99.17
0.6,0.454,92.83
0.6,0.458,95.83
0.6,0.46,98.83
0.6,0.464,101.83
0.6,0.468,94.58
0.6,0.478,76.92
0.6,0.48,79.92
0.6,0.484,82.92
0.6,0.486,86.92
0.6,0.493,68.42
0.6,0.495,71.42
0.6,0.499,74.42
0.6,0.501,77.42
0.6,0.505,80.42
0.6,0.507,83.42
0.6,0.521,50.83
0.6,0.523,53.83
0.6,0.527,56.83
0.6,0.529,59.83
0.6,0.533,62.83
0.6,0.544,27.83
0.6,0.546,30.83
0.6,0.55,33.83
0.6,0.552,36.83
0.6,0.556,39.83
0.6,0.561,42.83
0.6,0.565,45.83
0.6,0.567,48.83
0.6,0.571,51.83
0.6,0.573,54.83
0.6,0.577,57.83
