episode,reward,avg_loss,steps,epsilon
1,-4.7000,0.000000,200,0.9970
2,-14.6000,0.000000,200,0.9940
3,18.7000,0.198752,200,0.9910
4,-6.4500,0.121411,200,0.9881
5,8.4500,0.170776,200,0.9851
6,11.7000,0.175126,200,0.9821
7,25.2500,0.140820,200,0.9792
8,-8.6000,0.210250,200,0.9763
9,-20.3000,0.221721,200,0.9733
10,-3.2000,0.182642,200,0.9704
11,-9.6000,0.286522,200,0.9675
12,-16.8500,0.293440,200,0.9646
13,-11.2000,0.300999,200,0.9617
14,24.9000,0.322353,200,0.9588
15,-4.0500,0.407991,200,0.9559
16,28.1000,0.396563,200,0.9531
17,-1.2000,0.587883,200,0.9502
18,14.8500,0.604941,200,0.9474
19,-9.8000,0.533451,200,0.9445
20,7.8000,0.607858,200,0.9417
21,16.5500,0.700974,200,0.9389
22,18.1500,0.854369,200,0.9360
23,4.7000,0.847861,200,0.9332
24,7.7500,0.937436,200,0.9304
25,-5.4000,1.040731,200,0.9276
26,-0.6000,1.267170,200,0.9249
27,10.8000,1.291075,200,0.9221
28,-9.3000,1.382939,200,0.9193
29,12.0500,1.629552,200,0.9166
30,30.3500,1.323653,200,0.9138
31,-1.0000,1.363708,200,0.9111
32,21.5500,1.721986,200,0.9083
33,17.2500,1.673493,200,0.9056
34,25.5000,1.705307,200,0.9029
35,37.4500,1.652418,200,0.9002
36,-30.6000,1.626048,200,0.8975
37,15.9000,1.722704,200,0.8948
38,-16.2000,2.717369,200,0.8921
39,10.9500,2.352621,200,0.8894
40,37.2000,2.118656,200,0.8868
41,1.2000,1.982603,200,0.8841
42,2.0500,2.931318,200,0.8814
43,49.8000,3.085356,200,0.8788
44,12.0000,2.599788,200,0.8762
45,36.3000,3.463916,200,0.8735
46,-19.1000,3.025356,200,0.8709
47,-1.2000,3.550251,200,0.8683
48,46.1500,4.282402,200,0.8657
49,32.4500,3.500653,200,0.8631
50,22.2000,3.752943,200,0.8605
51,41.1000,3.756775,200,0.8579
52,23.7000,4.210524,200,0.8554
53,24.9000,4.474780,200,0.8528
54,41.4000,5.323736,200,0.8502
55,53.2000,4.179421,200,0.8477
56,18.2500,4.828359,200,0.8451
57,29.6500,5.605599,200,0.8426
58,41.8500,4.887769,200,0.8401
59,20.0500,6.383893,200,0.8376
